profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,off,none_memory-off,1,49f0f6b6,1,1,0,0,completed,max_retries_exceeded,False,co_sr,8,163.0,163.023,,,,-1.0,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_01.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,2,92a45d5e,1,1,0,0,completed,max_retries_exceeded,False,co_sr,8,142.0,142.235,neutral,0.04038,0.75,0.04038,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_02.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,3,0e7c812c,1,1,0,0,completed,max_retries_exceeded,False,co_sr,8,136.0,136.061,neutral,-0.00628,0.75,-0.00628,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_03.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,4,71a85bf5,1,1,0,0,completed,success,True,co_sr,7,150.0,150.463,improved,0.220519,0.75,0.220519,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_04.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_04.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,5,564914a5,1,1,0,0,completed,max_retries_exceeded,False,co_edca,8,147.0,147.363,neutral,0.026417,0.75,0.026417,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_05.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_05.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,6,16adfd54,1,1,0,0,completed,max_retries_exceeded,False,co_sr,8,137.0,137.609,degraded,-0.109513,0.5476,-0.109513,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_06.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_06.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,7,49383710,1,1,0,0,completed,max_retries_exceeded,False,co_sr,8,157.0,157.141,neutral,-0.013688,0.75,-0.013688,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_07.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_07.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,8,ca434d74,1,1,0,0,completed,success,True,co_sr,7,156.0,156.444,improved,0.111186,0.5559,0.111186,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_08.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_08.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,9,66778fd5,1,1,0,0,completed,success,True,co_edca,7,155.0,155.414,improved,0.24142,0.75,0.24142,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_09.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_09.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,10,370718fc,1,1,0,0,completed,max_retries_exceeded,False,co_sr,8,143.0,143.125,degraded,-0.121809,0.609,-0.121809,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_10.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-off/trial_10.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,1,4cef0cea,1,1,0,0,completed,success,True,co_edca,8,77.0,77.362,improved,0.292303,0.75,0.292303,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-on/trial_01.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,2,0a4cd1f4,1,1,0,0,completed,max_retries_exceeded,False,co_edca,9,74.0,74.452,,,,-1.0,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-on/trial_02.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-on/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,3,1079c5e8,1,1,0,0,completed,max_retries_exceeded,False,co_edca,12,124.0,124.181,degraded,-0.113656,0.5683,-0.113656,logs/experiments/final_tool_memory_highload_vi_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-on/trial_03.stdout.txt,logs/experiments/final_tool_memory_highload_vi_count5_10rep/raw/none_memory-on/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
