profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,off,none_memory-off,1,e79c647f,1,1,0,0,completed,max_retries_exceeded,False,co_edca,15,199.0,199.537,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-off.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-off/trial_01.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,off,none_memory-off,2,b3c646eb,2,2,1,0,completed,max_retries_exceeded,False,co_sr,16,186.0,186.464,neutral,0.027197,0.75,0.027197,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-off.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-off/trial_02_attempt_02.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-off/trial_02_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,1,9d62abef,3,3,2,1,infra_error,infra_error,False,,,,8.902,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_01_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_01_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,2,12d5c107,3,3,2,1,infra_error,infra_error,False,,,,11.407,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_02_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_02_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,3,474280e7,3,3,2,1,infra_error,infra_error,False,,,,9.943,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_03_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_03_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,4,b95d037e,3,3,2,1,infra_error,infra_error,False,,,,11.687,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_04_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_04_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,5,64cae582,3,3,2,1,infra_error,infra_error,False,,,,9.558,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_05_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_05_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,6,2c147103,3,3,2,1,infra_error,infra_error,False,,,,9.589,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_06_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_06_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,7,1dfe42c3,3,3,2,1,infra_error,infra_error,False,,,,12.122,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_07_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_07_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,8,5ae97411,3,3,2,1,infra_error,infra_error,False,,,,15.162,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_08_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_08_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,9,ae5c5cb3,3,3,2,1,infra_error,infra_error,False,,,,15.116,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_09_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_09_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,10,ec2ebf60,3,3,2,1,infra_error,infra_error,False,,,,15.128,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_10_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_10_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,11,4807ba87,3,3,2,1,infra_error,infra_error,False,,,,15.165,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_11_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_11_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,12,1bf768e3,3,3,2,1,infra_error,infra_error,False,,,,15.161,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_12_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_12_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,13,6a4195ce,3,3,2,1,infra_error,infra_error,False,,,,15.176,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_13_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_13_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,14,faabc84b,3,3,2,1,infra_error,infra_error,False,,,,15.161,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_14_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_14_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,15,0f7a0314,3,3,2,1,infra_error,infra_error,False,,,,15.186,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_15_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_15_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,16,24c42f29,3,3,2,1,infra_error,infra_error,False,,,,15.131,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_16_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_16_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,17,9ad1ff21,3,3,2,1,infra_error,infra_error,False,,,,15.115,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_17_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_17_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,18,3243c8a6,3,3,2,1,infra_error,infra_error,False,,,,15.153,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_18_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_18_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,19,833303a2,3,3,2,1,infra_error,infra_error,False,,,,15.169,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_19_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_19_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,20,ae9778f2,3,3,2,1,infra_error,infra_error,False,,,,15.173,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_20_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_20_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,21,6a75c8af,3,3,2,1,infra_error,infra_error,False,,,,15.178,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_21_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_21_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,22,ae5ff0a5,3,3,2,1,infra_error,infra_error,False,,,,15.206,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_22_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_22_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,23,b437bcb9,3,3,2,1,infra_error,infra_error,False,,,,15.138,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_23_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_23_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,24,69874da7,3,3,2,1,infra_error,infra_error,False,,,,15.139,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_24_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_24_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,25,bf0e6d3d,3,3,2,1,infra_error,infra_error,False,,,,15.129,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_25_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_25_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,26,f7caab08,3,3,2,1,infra_error,infra_error,False,,,,15.152,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_26_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_26_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,27,0369d1b3,3,3,2,1,infra_error,infra_error,False,,,,15.152,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_27_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_27_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,28,9aef6aa4,3,3,2,1,infra_error,infra_error,False,,,,15.173,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_28_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_28_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,29,a5ff8072,3,3,2,1,infra_error,infra_error,False,,,,15.155,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_29_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_29_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
