profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command,local_stdout_path,local_stderr_path,local_event_db
basic,off,basic_memory-off,1,b56fa689,1,1,0,0,completed,max_retries_exceeded,False,co_edca,8,120.0,120.098,degraded,-0.428231,0.75,-0.428231,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/basic_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_01.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_01.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/event_db.sqlite3
basic,off,basic_memory-off,2,1108cb00,1,1,0,0,completed,success,True,co_edca,7,103.0,103.496,improved,0.156962,0.75,0.156962,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/basic_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_02.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_02.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/event_db.sqlite3
basic,off,basic_memory-off,3,d0b95f34,1,1,0,0,completed,success,True,co_edca,7,137.0,137.649,improved,0.235884,0.75,0.235884,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/basic_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_03.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_03.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/event_db.sqlite3
basic,off,basic_memory-off,4,7358be9c,1,1,0,0,completed,max_retries_exceeded,False,co_edca,8,169.0,169.378,degraded,-0.225118,0.75,-0.225118,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/basic_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_04.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_04.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_04.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_04.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/event_db.sqlite3
basic,off,basic_memory-off,5,d9fb6af1,1,1,0,0,completed,success,True,co_edca,7,96.0,95.784,improved,0.428949,0.75,0.428949,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/basic_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_05.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_05.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_05.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_05.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/event_db.sqlite3
basic,off,basic_memory-off,6,98b7a917,1,1,0,0,completed,success,True,co_edca,7,99.0,99.251,improved,0.082278,0.4114,0.082278,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/basic_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_06.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_06.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_06.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_06.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/event_db.sqlite3
basic,off,basic_memory-off,7,d20fcdb7,1,1,0,0,completed,success,True,co_edca,7,130.0,130.122,improved,0.142649,0.7132,0.142649,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/basic_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_07.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_07.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_07.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_07.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/event_db.sqlite3
basic,off,basic_memory-off,8,76a74ed0,2,2,1,1,infra_error,infra_error,False,,,,88.421,,,,-1.0,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/basic_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_08_attempt_02.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_08_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_08_attempt_02.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_08_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/event_db.sqlite3
basic,off,basic_memory-off,9,98cf0d95,2,2,1,1,infra_error,infra_error,False,,,,109.683,,,,-1.0,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/basic_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_09_attempt_02.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_09_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_09_attempt_02.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_09_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/event_db.sqlite3
basic,off,basic_memory-off,10,5e1b6a22,2,2,1,1,infra_error,infra_error,False,,,,115.765,,,,-1.0,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/basic_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_10_attempt_02.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/basic_memory-off/trial_10_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_10_attempt_02.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/raw/trial_10_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/basic/memory_off/event_db.sqlite3
