profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command,local_stdout_path,local_stderr_path,local_event_db
none,on,none_memory-on,1,95b0b70f,1,1,0,0,completed,success,True,co_edca,8,38.0,38.207,improved,0.412055,0.75,0.412055,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_01.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_01.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/event_db.sqlite3
none,on,none_memory-on,2,3577da66,1,1,0,0,completed,success,True,co_edca,8,50.0,50.531,improved,0.333961,0.75,0.333961,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_02.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_02.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/event_db.sqlite3
none,on,none_memory-on,3,2c65a47f,1,1,0,0,completed,success,True,co_edca,8,52.0,52.145,improved,0.335101,0.75,0.335101,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_03.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_03.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/event_db.sqlite3
none,on,none_memory-on,4,99ee0de9,1,1,0,0,completed,success,True,co_edca,8,52.0,52.481,improved,0.382873,0.75,0.382873,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_04.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_04.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_04.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_04.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/event_db.sqlite3
none,on,none_memory-on,5,af417f3b,1,1,0,0,completed,success,True,co_edca,8,53.0,52.96,improved,0.527921,0.75,0.527921,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_05.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_05.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_05.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_05.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/event_db.sqlite3
none,on,none_memory-on,6,3515cba5,1,1,0,0,completed,max_retries_exceeded,False,co_edca,9,47.0,47.626,degraded,-0.059148,0.2957,-0.059148,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_06.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_06.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_06.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_06.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/event_db.sqlite3
none,on,none_memory-on,7,174ed4c2,1,1,0,0,completed,max_retries_exceeded,False,co_edca,9,55.0,55.271,neutral,-0.009147,0.75,-0.009147,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_07.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_07.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_07.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_07.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/event_db.sqlite3
none,on,none_memory-on,8,5862a8cf,1,1,0,0,completed,success,True,co_edca,8,47.0,47.438,improved,0.099725,0.4986,0.099725,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_08.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_08.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_08.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_08.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/event_db.sqlite3
none,on,none_memory-on,9,58d08366,1,1,0,0,completed,success,True,co_edca,8,70.0,70.681,improved,0.098342,0.4917,0.098342,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_09.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_09.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_09.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_09.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/event_db.sqlite3
none,on,none_memory-on,10,b3ade11c,1,1,0,0,completed,success,True,co_edca,8,49.0,48.851,improved,0.132497,0.6625,0.132497,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_10.stdout.txt,logs/experiments/final_tool_memory_highload_fastvote_qospos_count5_10rep/raw/none_memory-on/trial_10.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_10.stdout.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/raw/trial_10.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/logs/experiments/tool_memory_results_structured_20260710/data/none/memory_on/event_db.sqlite3
